OrderID,Date,CustomerID,Region,ProductName,Category,Quantity,UnitPrice,TotalAmount,OrderStatus,SalesAgent
ORD000001,12/13/2025,CUST1279,East,Headphones,Electronics,4,2833,11332,Completed,Agent_2
ORD000002,1/14/2025,CUST1287,East,Laptop,Electronics,2,51905,103810,Completed,Agent_4
ORD000003,1/4/2025,CUST1081,East,Football,Sports,4,1187,4748,Completed,Agent_12
ORD000004,2/17/2025,CUST1194,South,T-Shirt,Clothing,4,873,3492,Completed,Agent_2
ORD000005,10/2/2025,CUST1063,South,Jacket,Clothing,5,3714,18570,Cancelled,Agent_15
ORD000006,4/9/2025,CUST1035,South,Football,Sports,10,1292,12920,Completed,Agent_1
ORD000007,8/21/2025,CUST1325,East,T-Shirt,Clothing,4,858,3432,Completed,Agent_14
ORD000008,12/16/2025,CUST1331,South,Jeans,Clothing,4,1861,7444,Completed,Agent_2
ORD000009,11/24/2025,CUST1285,East,Bookshelf,Furniture,4,8394,33576,Completed,Agent_4
ORD000010,2/3/2025,CUST1108,East,Smartphone,Electronics,1,26525,26525,Completed,Agent_15
ORD000011,8/23/2025,CUST1073,West,T-Shirt,Clothing,8,783,6264,Cancelled,Agent_5
ORD000012,10/26/2025,CUST1204,North,Yoga Mat,Sports,5,1574,7870,Completed,Agent_6
ORD000013,2/26/2025,CUST1078,North,Bookshelf,Furniture,8,8263,66104,Completed,Agent_11
ORD000014,8/28/2025,CUST1270,North,Tea Pack,Grocery,2,488,976,Completed,Agent_5
ORD000015,6/24/2025,CUST1057,West,Laptop,Electronics,9,57759,519831,Completed,Agent_5
ORD000016,9/17/2025,CUST1054,South,Rice Bag,Grocery,5,1313,6565,Cancelled,Agent_14
ORD000017,10/4/2025,CUST1271,East,Yoga Mat,Sports,4,1395,5580,Completed,Agent_15
ORD000018,6/7/2025,CUST1122,North,Jeans,Clothing,1,1660,1660,Completed,Agent_1
ORD000019,9/30/2025,CUST1064,North,Cricket Bat,Sports,2,2615,5230,Completed,Agent_3
ORD000020,4/19/2025,CUST1276,East,Cricket Bat,Sports,5,2513,12565,Completed,Agent_13
ORD000021,7/11/2025,CUST1224,East,Bookshelf,Furniture,5,8818,44090,Completed,Agent_15
ORD000022,10/11/2025,CUST1117,South,Smartphone,Electronics,4,22820,91280,Completed,Agent_10
ORD000023,6/19/2025,CUST1036,North,Laptop,Electronics,4,50241,200964,Completed,Agent_9
ORD000024,10/20/2025,CUST1295,North,Rice Bag,Grocery,9,1111,9999,Cancelled,Agent_8
ORD000025,7/1/2025,CUST1216,North,Cooking Oil,Grocery,4,1653,6612,Completed,Agent_7
ORD000026,2/25/2025,CUST1127,South,Laptop,Electronics,1,53928,53928,Completed,Agent_4
ORD000027,2/8/2025,CUST1226,North,Rice Bag,Grocery,7,1124,7868,Completed,Agent_13
ORD000028,1/8/2025,CUST1047,West,Cricket Bat,Sports,1,2576,2576,Completed,Agent_15
ORD000029,7/25/2025,CUST1030,West,Office Chair,Furniture,7,6979,48853,Completed,Agent_3
ORD000030,10/12/2025,CUST1338,South,Cooking Oil,Grocery,8,1722,13776,Completed,Agent_12
ORD000031,10/5/2025,CUST1031,South,Desk,Furniture,4,13124,52496,Completed,Agent_12
ORD000032,1/30/2025,CUST1260,North,Smartwatch,Electronics,9,8671,78039,Completed,Agent_2
